municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,province
17001,903,62.3687033975505,291.22021660649807,759,4.45171339563863,35.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,Agullana,0.06906833155874917,0.3225030084235859,0.840531561461794,0.0,0.02857142857142857,0.05714285714285714,Cataluña
17002,780,65.54778268695794,355.95238095238096,747,4.53951890034364,156.0,4.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Aiguaviva,0.08403561882943326,0.45634920634920634,0.9576923076923077,0.02564102564102564,0.07051282051282051,0.10256410256410256,Cataluña
17003,180,9.7593192022554,71.08280254777084,157,4.63934426229508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albanyà,0.05421844001253,0.39490445859872686,0.8722222222222222,0.0,0.0,0.0,Cataluña
17004,797,27.142074742268,302.9832474226804,698,4.06666666666667,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albons,0.03405530080585697,0.3801546391752577,0.875784190715182,0.027777777777777776,0.0,0.0,Cataluña
17005,625,15.586293247366289,247.28714524207,604,4.07327586206896,320.0,12.0,23.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,"Far d'Empordà, El",0.02493806919578606,0.395659432387312,0.9664,0.0375,0.071875,0.109375,Cataluña
17006,1717,136.49193892560433,947.6101265822784,1543,4.63993453355156,216.0,14.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,Alp,0.07949443152335721,0.5518987341772151,0.8986604542807222,0.06481481481481481,0.0,0.018518518518518517,Cataluña
17007,2422,124.59054951003016,772.5526544821587,2160,4.26733780760626,81.0,2.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,Amer,0.05144118476879858,0.31897302001740657,0.8918249380677127,0.024691358024691357,0.06172839506172839,0.12345679012345678,Cataluña
17008,5682,308.6978549116003,1728.3000219694177,4530,4.469074370941292,525.0,9.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,Anglès,0.054329083933755774,0.30417107039236496,0.7972544878563886,0.017142857142857144,0.011428571428571429,0.005714285714285714,Cataluña
17009,6474,245.12088672406608,2464.709379269648,4986,4.299357263007653,861.0,30.0,12.0,24.0,1.0,0.0,1.0,1.0,0.0,3.0,Arbúcies,0.03786235507013687,0.3807088939248761,0.7701575532900834,0.03484320557491289,0.013937282229965157,0.027874564459930314,Cataluña
17010,439,15.51637279596981,103.94458438287148,419,4.17647058823529,72.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Argelaguer,0.03534481274708385,0.23677581863979838,0.9544419134396356,0.041666666666666664,0.09722222222222222,0.08333333333333333,Cataluña
